equipo,rival,fecha,local_visitante,goles_favor,goles_contra,resultado,tipo_partido,clima,temperatura,humedad,dias_descanso,tiros_puerta,posesion,lesionados,suspendidos
Alemania,Escocia,2026-05-31,Local,0,1,Derrota,Oficial,Nublado,18,69,7,6,56,3,0
Alemania,Noruega,2026-05-17,Local,1,1,Empate,Liga de Naciones,Soleado,18,37,9,4,47,0,0
Alemania,Portugal,2026-05-06,Visitante,1,1,Empate,Amistoso,Lluvia,16,81,6,7,48,3,0
Alemania,Bélgica,2026-04-26,Local,1,1,Empate,Eliminatoria,Soleado,29,41,6,6,51,1,0
Alemania,Suiza,2026-04-14,Visitante,0,1,Derrota,Amistoso,Caluroso,36,42,7,5,56,1,0
Alemania,República Checa,2026-04-04,Local,2,1,Victoria,Eliminatoria,Soleado,28,56,7,10,56,3,0
Alemania,Inglaterra,2026-03-25,Local,1,2,Derrota,Eliminatoria,Frio,8,67,4,6,51,1,0
Alemania,Jordania,2026-03-14,Visitante,3,3,Empate,Eliminatoria,Soleado,29,38,5,10,60,4,0
Alemania,Marruecos,2026-03-03,Visitante,0,4,Derrota,Eliminatoria,Lluvia,16,79,5,8,35,1,1
Alemania,Senegal,2026-02-18,Local,3,0,Victoria,Eliminatoria,Soleado,18,47,3,9,57,0,0
Alemania,Austria,11/02/2026,Local,3,2,Victoria,Eliminatoria,Caluroso,31,63,12,7,44,1,0
Alemania,Senegal,31/01/2026,Local,1,0,Victoria,Eliminatoria,Nublado,26,54,4,7,58,2,1
Alemania,Irak,28/01/2026,Local,2,0,Victoria,Amistoso,Soleado,9,54,5,9,68,0,0
Alemania,Noruega,19/01/2026,Local,1,0,Victoria,Oficial,Caluroso,27,75,5,4,58,1,0
Alemania,Bosnia y Herzegovina,14/01/2026,Local,2,0,Victoria,Oficial,Lluvia,15,78,12,8,61,0,0
Alemania,Egipto,03/01/2026,Local,3,0,Victoria,Amistoso,Frio,13,86,8,9,34,1,0
Alemania,República Democrática del Congo,27/12/2025,Local,3,0,Victoria,Eliminatoria,Lluvia,17,72,8,9,62,4,0
Alemania,Portugal,22/12/2025,Visitante,0,2,Derrota,Amistoso,Soleado,17,72,14,7,40,0,0
Alemania,Panamá,14/12/2025,Local,5,1,Victoria,Oficial,Frio,11,42,6,13,64,1,0
Alemania,Francia,08/12/2025,Local,1,0,Victoria,Oficial,Lluvia,7,66,14,6,30,1,0
Alemania,Noruega,03/12/2025,Local,3,0,Victoria,Oficial,Soleado,14,35,7,7,53,0,1
Alemania,Países Bajos,25/11/2025,Local,2,0,Victoria,Oficial,Nublado,33,49,10,7,40,0,0
Alemania,Sudáfrica,16/11/2025,Visitante,1,2,Derrota,Oficial,Frio,10,55,12,6,58,2,0
Alemania,Bosnia y Herzegovina,09/11/2025,Visitante,2,0,Victoria,Amistoso,Lluvia,21,69,5,9,60,1,0
Alemania,Senegal,02/11/2025,Visitante,5,1,Victoria,Copa,Frio,9,36,4,11,43,0,0
Alemania,Turquía,29/10/2025,Local,1,1,Empate,Eliminatoria,Caluroso,33,61,9,6,38,1,0
Alemania,Irak,19/10/2025,Visitante,1,0,Victoria,Liga de Naciones,Soleado,22,65,5,6,52,0,1
Alemania,Irak,11/10/2025,Visitante,3,1,Victoria,Oficial,Caluroso,35,78,14,10,67,1,0
Alemania,Haití,05/10/2025,Visitante,5,3,Victoria,Eliminatoria,Soleado,26,46,6,11,45,0,0
