"equipo","rival","fecha","local_visitante","goles_favor","goles_contra","resultado","tipo_partido","clima","temperatura","humedad","dias_descanso","tiros_puerta","posesion","lesionados","suspendidos"
"Alemania","Escocia",2026-05-31,"Local",0,1,"Derrota","Oficial","Nublado",18,69,7,6,56,3,0
"Alemania","Noruega",2026-05-17,"Local",1,1,"Empate","Liga de Naciones","Soleado",18,37,9,4,47,0,0
"Alemania","Portugal",2026-05-06,"Visitante",1,1,"Empate","Amistoso","Lluvia",16,81,6,7,48,3,0
"Alemania","Bélgica",2026-04-26,"Local",1,1,"Empate","Eliminatoria","Soleado",29,41,6,6,51,1,0
"Alemania","Suiza",2026-04-14,"Visitante",0,1,"Derrota","Amistoso","Caluroso",36,42,7,5,56,1,0
"Alemania","República Checa",2026-04-04,"Local",2,1,"Victoria","Eliminatoria","Soleado",28,56,7,10,56,3,0
"Alemania","Inglaterra",2026-03-25,"Local",1,2,"Derrota","Eliminatoria","Frio",8,67,4,6,51,1,0
"Alemania","Jordania",2026-03-14,"Visitante",3,3,"Empate","Eliminatoria","Soleado",29,38,5,10,60,4,0
"Alemania","Marruecos",2026-03-03,"Visitante",0,4,"Derrota","Eliminatoria","Lluvia",16,79,5,8,35,1,1
"Alemania","Senegal",2026-02-18,"Local",3,0,"Victoria","Eliminatoria","Soleado",18,47,3,9,57,0,0
"Arabia Saudita","Corea del Sur",2026-05-28,"Visitante",0,4,"Derrota","Oficial","Nublado",18,64,8,4,48,1,1
"Arabia Saudita","Irán",2026-05-18,"Visitante",1,1,"Empate","Liga de Naciones","Lluvia",20,78,8,6,52,1,1
"Arabia Saudita","Irak",2026-05-06,"Local",2,2,"Empate","Oficial","Nublado",21,74,4,6,54,0,0
"Arabia Saudita","Jordania",2026-04-28,"Local",2,0,"Victoria","Amistoso","Soleado",27,37,8,7,54,1,0
"Arabia Saudita","Australia",2026-04-15,"Local",3,1,"Victoria","Copa","Soleado",20,66,9,6,49,0,0
"Arabia Saudita","Japón",2026-04-05,"Visitante",0,2,"Derrota","Eliminatoria","Soleado",30,50,3,3,50,2,1
"Arabia Saudita","Uzbekistán",2026-03-26,"Local",1,0,"Victoria","Oficial","Nublado",16,60,9,6,53,0,0
"Arabia Saudita","Austria",2026-03-13,"Visitante",1,0,"Victoria","Copa","Caluroso",29,56,8,3,45,1,0
"Arabia Saudita","Países Bajos",2026-03-03,"Local",4,2,"Victoria","Copa","Soleado",26,61,9,8,56,1,0
"Arabia Saudita","República Checa",2026-02-18,"Local",3,1,"Victoria","Eliminatoria","Nublado",21,81,9,7,47,3,0
"Argelia","Ghana",2026-05-28,"Local",3,0,"Victoria","Copa","Soleado",21,63,8,9,51,1,0
"Argelia","Sudáfrica",2026-05-18,"Visitante",1,1,"Empate","Copa","Soleado",27,47,7,8,47,1,0
"Argelia","República Democrática del Congo",2026-05-09,"Local",2,0,"Victoria","Copa","Nublado",16,85,8,8,46,1,0
"Argelia","Túnez",2026-04-27,"Local",3,0,"Victoria","Oficial","Soleado",29,63,5,8,56,0,0
"Argelia","Senegal",2026-04-14,"Local",1,1,"Empate","Eliminatoria","Caluroso",34,51,8,5,49,3,0
"Argelia","Costa de Marfil",2026-04-06,"Local",1,2,"Derrota","Liga de Naciones","Soleado",18,50,6,6,58,0,0
"Argelia","Egipto",2026-03-26,"Visitante",2,1,"Victoria","Eliminatoria","Soleado",27,42,6,5,49,1,0
